rewards_per_episode,downtime_per_episode
16556,17755.004824000018
33928,17890.002568000018
51214,17884.00153600003
68587,17881.001320000018
85868,17879.001536000025
103176,17876.002712000023
120662,17904.002232000013
137963,17869.00141600002
155365,17890.001272000023
172548,17871.004128000022
189880,17880.00148800002
