current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
5.004,2.839959,1,2.164041
5.004,2.8283215,1,2.1756785
5.004,2.8197034,1,2.1842966
5.004,2.806766,1,2.197234
5.004,2.7965818,1,2.2074182
5.004,2.784891,1,2.219109
5.004,2.7732668,1,2.2307332
5.004,2.764742,1,2.239258
5.004,2.7518514,1,2.2521486
5.004,2.741607,1,2.262393
5.004,2.729956,1,2.274044
5.004,2.7182918,1,2.2857082
5.004,2.706661,1,2.297339
5.004,2.6980897,1,2.3059103
5.004,2.6851256,1,2.3188744
5.004,2.6749213,1,2.3290787
5.004,2.6632505,1,2.3407495
5.004,2.6515997,1,2.3524003
5.004,2.6431082,1,2.3608918
5.004,2.6301375,1,2.3738625
5.004,2.61996,1,2.38404
5.004,2.6083024,1,2.3956976
5.004,2.599811,1,2.404189
5.004,2.5869403,1,2.4170597
5.004,2.5767758,1,2.4272242
5.004,2.5650983,1,2.4389017
5.004,2.5534542,1,2.4505458
5.004,2.5449627,1,2.4590373
5.004,2.5320187,1,2.4719813
5.004,2.5218409,1,2.4821591
5.004,2.51017,1,2.49383
5.004,2.4984992,1,2.5055008
5.004,2.4868484,1,2.5171516
5.004,2.4782436,1,2.5257564
5.004,2.465333,1,2.538667
5.004,2.455102,1,2.548898
5.004,2.4434178,1,2.5605822
5.004,2.431767,1,2.572233
5.004,2.4232622,1,2.5807378
5.004,2.4103315,1,2.5936685
5.004,2.4001072,1,2.6038928
5.004,2.388443,1,2.615557
5.004,2.376779,1,2.627221
5.004,2.368294,1,2.635706
5.004,2.3553236,1,2.6486764
5.004,2.3451658,1,2.6588342
5.004,2.3334816,1,2.6705184
5.004,2.3218108,1,2.6821892
5.004,2.313326,1,2.690674
5.004,2.3003686,1,2.7036314
5.004,2.2901843,1,2.7138157
5.004,2.2784935,1,2.7255065
5.004,2.2668427,1,2.7371573
5.004,2.2583578,1,2.7456422
5.004,2.2453938,1,2.7586062
5.004,2.2352028,1,2.7687972
5.004,2.2235053,1,2.7804947
5.004,2.2118679,1,2.7921321
5.004,2.2033763,1,2.8006237
5.004,2.1904057,1,2.8135943
5.004,2.1802278,1,2.8237722
5.004,2.1685305,1,2.8354695
5.004,2.1600524,1,2.8439476
5.004,2.1471484,1,2.8568516
5.004,2.1370106,1,2.8669894
5.004,2.1252997,1,2.8787003
5.004,2.1168416,1,2.8871584
5.004,2.1039444,1,2.9000556
5.004,2.0938,1,2.9102
5.004,2.0821024,1,2.9218976
5.004,2.0704315,1,2.9335685
5.004,2.0619867,1,2.9420133
5.004,2.0489896,1,2.9550104
5.004,2.0388184,1,2.9651816
5.004,2.0271075,1,2.9768925
5.004,2.018656,1,2.985344
5.004,2.0057455,1,2.9982545
5.004,1.9955676,1,3.0084324
5.004,1.9838903,1,3.0201097
5.004,1.9722527,1,3.0317473
5.004,1.9637478,1,3.0402522
5.004,1.9507907,1,3.0532093
5.004,1.9405995,1,3.0634005
5.004,1.9289022,1,3.0750978
5.004,1.9172247,1,3.0867753
5.004,1.9087532,1,3.0952468
5.004,1.8958025,1,3.1081975
5.004,1.8855715,1,3.1184285
5.004,1.8739074,1,3.1300926
5.004,1.8622432,1,3.1417568
5.004,1.8537584,1,3.1502416
5.004,1.840781,1,3.163219
5.004,1.8305634,1,3.1734366
5.004,1.8188725,1,3.1851275
5.004,1.8072284,1,3.1967716
5.004,1.795571,1,3.208429
5.004,1.7869661,1,3.2170339
5.004,1.7740021,1,3.2299979
5.004,1.7637976,1,3.2402024
5.004,1.7520736,1,3.2519264
5.004,1.7404094,1,3.2635906
5.004,1.7287252,1,3.2752748
5.004,1.7201736,1,3.2838264
5.004,1.7071565,1,3.2968435
5.004,1.6969588,1,3.3070412
5.004,1.6852613,1,3.3187387
5.004,1.6735771,1,3.3304229
5.004,1.6619397,1,3.3420603
5.004,1.653355,1,3.350645
5.004,1.6403509,1,3.3636491
5.004,1.6301532,1,3.3738468
5.004,1.6184423,1,3.3855577
5.004,1.6067515,1,3.3972485
5.004,1.595114,1,3.408886
5.004,1.5865226,1,3.4174774
5.004,1.5735188,1,3.4304812
5.004,1.5633143,1,3.4406857
5.004,1.5516234,1,3.4523766
5.004,1.539946,1,3.464054
5.004,1.5314744,1,3.4725256
5.004,1.518504,1,3.485496
5.004,1.508306,1,3.495694
5.004,1.4997745,1,3.5042255
5.004,1.4868708,1,3.5171292
5.004,1.4767862,1,3.5272138
5.004,1.4651354,1,3.5388646
5.004,1.4534512,1,3.5505488
5.004,1.4449997,1,3.5590003
5.004,1.4319892,1,3.5720108
5.004,1.421798,1,3.582202
5.004,1.4132999,1,3.5907001
5.004,1.4003761,1,3.6036239
5.004,1.3903049,1,3.6136951
5.004,1.378614,1,3.625386
5.004,1.3669432,1,3.6370568
5.004,1.3584784,1,3.6455216
5.004,1.345508,1,3.658492
5.004,1.3352833,1,3.6687167
5.004,1.3235858,1,3.6804142
5.004,1.3119484,1,3.6920516
5.004,1.300231,1,3.703769
5.004,1.291686,1,3.712314
5.004,1.278669,1,3.725331
5.004,1.268451,1,3.735549
5.004,1.2567404,1,3.7472596
5.004,1.2450696,1,3.7589304
5.004,1.2366114,1,3.7673886
5.004,1.223601,1,3.780399
5.004,1.2133763,1,3.7906237
5.004,1.2016922,1,3.8023078
5.004,1.193234,1,3.810766
5.004,1.1802834,1,3.8237166
5.004,1.1701258,1,3.8338742
5.004,1.1583815,1,3.8456185
5.004,1.1499768,1,3.8540232
5.004,1.1370194,1,3.8669806
5.004,1.1268616,1,3.8771384
5.004,1.1151176,1,3.8888824
5.004,1.10348,1,3.90052
5.004,1.0950084,1,3.9089916
5.004,1.0820113,1,3.9219887
5.004,1.0718136,1,3.9321864
5.004,1.0600827,1,3.9439173
5.004,1.0483985,1,3.9556015
5.004,1.0367344,1,3.9672656
5.004,1.0281897,1,3.9758103
5.004,1.0151191,1,3.9888809
5.004,1.004928,1,3.999072
5.004,0.9932173,1,4.0107827
5.004,0.9815195,1,4.0224805
5.004,0.9730614,1,4.0309386
5.004,0.9600575,1,4.0439425
5.004,0.9498065,1,4.0541935
5.004,0.9381226,1,4.0658774
5.004,0.926465,1,4.077535
5.004,0.914774,1,4.089226
5.004,0.9030097,1,4.1009903
5.004,0.894445,1,4.109555
5.004,0.8813813,1,4.1226187
5.004,0.871183,1,4.132817
5.004,0.859466,1,4.144534
5.004,0.851001,1,4.152999
5.004,0.8380173,1,4.1659827
5.004,0.827866,1,4.176134
5.004,0.8161552,1,4.1878448
5.004,0.804478,1,4.199522
5.004,0.79278,1,4.21122
5.004,0.784262,1,4.219738
5.004,0.771225,1,4.232775
5.004,0.761027,1,4.242973
5.004,0.749263,1,4.254737
5.004,0.7408183,1,4.2631817
5.004,0.727881,1,4.276119
5.004,0.717683,1,4.286317
5.004,0.705979,1,4.298021
5.004,0.6942747,1,4.3097253
5.004,0.68585,1,4.31815
5.004,0.672806,1,4.331194
5.004,0.6626084,1,4.3413916
5.004,0.650911,1,4.353089
5.004,0.642433,1,4.361567
5.004,0.629482,1,4.374518
5.004,0.619298,1,4.384702
5.004,0.607587,1,4.396413
5.004,0.599135,1,4.404865
5.004,0.586185,1,4.417815
5.004,0.576027,1,4.427973
5.004,0.5643094,1,4.4396906
5.004,0.552619,1,4.451381
5.004,0.5441874,1,4.4598126
5.004,0.53113,1,4.47287
5.004,0.520919,1,4.483081
5.004,0.509188,1,4.494812
5.004,0.4975308,1,4.5064692
5.004,0.489066,1,4.514934
5.004,0.476042,1,4.527958
5.004,0.4658306,1,4.5381694
5.004,0.45406,1,4.54994
5.004,0.4423893,1,4.5616107
5.004,0.433951,1,4.570049
5.004,0.420874,1,4.583126
5.004,0.4106825,1,4.5933175
5.004,0.3989785,1,4.6050215
5.004,0.387288,1,4.616712
5.004,0.3788565,1,4.6251435
5.004,0.3657725,1,4.6382275
5.004,0.355561,1,4.648439
5.004,0.3438237,1,4.6601763
5.004,0.33216,1,4.67184
5.004,0.323695,1,4.680305
5.004,0.310651,1,4.693349
5.004,0.300453,1,4.703547
5.004,0.288729,1,4.715271
5.004,0.2803042,1,4.7236958
5.004,0.2672937,1,4.7367063
5.004,0.2571223,1,4.7468777
5.004,0.245405,1,4.758595
5.004,0.236947,1,4.767053
5.004,0.2239965,1,4.7800035
5.004,0.2138117,1,4.7901883
5.004,0.2020877,1,4.8019123
5.004,0.1904166,1,4.8135834
5.004,0.1819585,1,4.8220415
5.004,0.1689146,1,4.8350854
5.004,0.1587103,1,4.8452897
5.004,0.146953,1,4.857047
5.004,0.1352885,1,4.8687115
5.004,0.1268437,1,4.8771563
5.004,0.1137665,1,4.8902335
5.004,0.103529,1,4.900471
5.004,0.0918315,1,4.9121685
5.004,0.080134,1,4.923866
5.004,0.0684565,1,4.9355435
5.004,0.0599115,1,4.9440885
5.004,0.046841,1,4.957159
5.004,0.0366166,1,4.9673834
5.004,0.0248726,1,4.9791274
5.004,0.016441,1,4.987559
5.004,0.0034507,1,5.0005493
10.004,0.006754,2,5.010754
10.004,4.981542,2,5.022458
10.004,4.969864,2,5.034136
10.004,4.9614127,2,5.0425873
10.004,4.948369,2,5.055631
10.004,4.938151,2,5.065849
10.004,4.9264005,2,5.0775995
10.004,4.914703,2,5.089297
10.004,4.902992,2,5.101008
10.004,4.894494,2,5.109506
10.004,4.8813704,2,5.1226296
10.004,4.871179,2,5.132821
10.004,4.859428,2,5.144572
10.004,4.8477376,2,5.1562624
10.004,4.836013,2,5.167987
10.004,4.827515,2,5.176485
10.004,4.814398,2,5.189602
10.004,4.80418,2,5.19982
10.004,4.7924426,2,5.2115574
10.004,4.7807253,2,5.2232747
10.004,4.7723334,2,5.2316666
10.004,4.7592433,2,5.2447567
10.004,4.749012,2,5.254988
10.004,4.737301,2,5.266699
10.004,4.725577,2,5.278423
10.004,4.7171658,2,5.2868342
