timeslot,disk_space
0,0.0037992217540740968
1,0.007765015482902527
2,0.015735405564308167
3,0.027693068742752076
4,0.027693068742752076
5,0.027693068742752076
6,0.05566760551929474
7,0.04359395825862884
8,0.07969083094596863
9,0.08789307129383087
10,0.09995304894447327
11,0.09995304894447327
12,0.12004261088371276
13,0.13218322092294693
14,0.12011015981435777
15,0.12011015981435777
16,0.16418364757299425
17,0.15198536235094073
18,0.15198536235094073
19,0.10762381058931353
20,0.007149233758449586
21,-0.20544117873907086
22,-0.6577029394507408
23,0.46254453426599507
24,0.25535720545053486
25,0.24654927664995197
26,0.22088782292604447
27,0.15744891005754474
28,0.018533121764659932
29,0.018533121764659932
30,-0.27861702853441234
31,0.3663041757941247
32,0.3663041757941247
33,0.3844169146418573
34,0.4083658367991449
