Date_time,CPU,Memory_Bytes,Disk_Usage
1628606007,44588384830226,12252831744,1139464
1628606012,44593770479382,12217544704,1139476
1628606017,44599363238591,12348805120,1139484
1628606023,44603497657295,12247433216,1139500
1628606028,44610233802372,12356595712,1139516
1628606033,44615516458346,12518699008,1139524
1628606038,44620490180386,12433858560,1139540
1628606043,44626782481045,12590342144,1139564
1628606048,44631392987631,12506554368,1139580
1628606053,44636196656734,12443721728,1139616
1628606059,44642210870841,12599607296,1139632
1628606064,44646066265431,12483600384,1139664
1628606069,44651297399300,12450177024,1139696
1628606074,44656730682709,12585869312,1139720
1628606079,44660720929862,12454858752,1139768
1628606085,44666394472706,12454076416,1139820
1628606090,44671368231513,12562341888,1139844
1628606095,44675519940388,12460376064,1139892
1628606100,44681347108750,12459302912,1139940
1628606105,44686189947029,12534255616,1139972
1628606110,44690599418221,12462948352,1140036
1628606116,44696533660602,12616888320,1140104
1628606121,44700765415311,12514942976,1140136
1628606126,44705572028087,12466343936,1140200
1628606131,44711327515118,12618674176,1140232
1628606136,44715201470138,12488429568,1140312
1628606141,44720887159402,12476514304,1140392
1628606147,44726011523266,12586192896,1140436
1628606152,44730152516096,12490665984,1140516
1628606157,44735906092248,12487630848,1140596
1628606162,44740705925115,12563980288,1140636
1628606167,44745170520554,12492603392,1140732
1628606172,44751374282921,12645892096,1140832
1628606178,44755354768824,12532404224,1140884
1628606183,44760575298469,12493070336,1140980
1628606188,44766141309474,12640407552,1141028
1628606193,44769959310453,12505235456,1141132
1628606198,44775690599325,12493025280,1141248
1628606203,44780676727352,12580728832,1141304
1628606209,44784860295106,12502532096,1141416
1628606214,44790917519947,12672671744,1141528
1628606219,44795334455868,12584452096,1141584
1628606224,44800214918182,12543778816,1141708
1628606229,44805935508224,12698349568,1141772
1628606234,44809767518681,12592279552,1141900
1628606240,44815133621084,12569673728,1142028
1628606245,44820536007425,12686622720,1142092
1628606250,44824630019903,12581310464,1142224
1628606255,44830448890569,12579549184,1142368
1628606260,44835287757461,12660609024,1142440
1628606265,44839708096979,12579373056,1142584
1628606271,44845609236295,12733480960,1142732
1628606276,44850053593309,12647833600,1142804
1628606281,44854878409387,12580655104,1142948
1628606286,44860833304772,12733480960,1143028
1628606291,44864820121497,12619661312,1143192
1628606297,44870124738244,12581183488,1143352
1628606302,44875776672583,12729335808,1143432
1628606307,44879551825186,12583792640,1143592
1628606312,44885558495693,12581593088,1143764
1628606317,44890676465284,12676800512,1143852
1628606322,44894792354873,12581888000,1144028
1628606328,44900877523329,12734910464,1144208
1628606333,44905559664165,12653686784,1144296
1628606338,44910092587208,12582232064,1144472
1628606343,44916199022217,12736176128,1144664
1628606348,44920092591785,12622258176,1144764
1628606353,44925485028741,12583141376,1144956
1628606359,44930849348685,12690173952,1145052
1628606364,44935027322333,12583813120,1145244
1628606369,44941228163811,12737220608,1145440
1628606374,44945118733346,12618588160,1145544
1628606379,44950538909117,12584587264,1145752
1628606384,44955440366105,12659896320,1145856
1628606390,44960069899100,12584648704,1146068
1628606395,44966096063637,12737884160,1146172
1628606400,44970072089089,12609282048,1146380
1628606405,44975816277404,12588425216,1146608
1628606410,44980666064201,12660355072,1146720
1628606415,44985514678907,12589019136,1146944
1628606421,44991257614185,12710133760,1147056
1628606426,44995320524096,12592541696,1147284
1628606431,45001425804997,12742168576,1147516
1628606436,45005705180976,12637253632,1147636
1628606441,45010718241883,12589887488,1147880
1628606447,45016318352950,12713734144,1148000
1628606452,45020238199359,12592664576,1148240
1628606457,45026340988826,12744740864,1148484
1628606462,45030741843584,12639203328,1148612
1628606467,45036050028020,12591202304,1148868
1628606472,45041386345521,12698845184,1149000
1628606478,45045569200359,12591202304,1149256
1628606483,45051863460928,12744585216,1149512
1628606488,45055864591309,12631392256,1149644
1628606493,45061380751854,12592148480,1149908
1628606498,45066590789157,12699267072,1150044
1628606504,45070873523474,12592701440,1150320
1628606509,45076954645656,12748181504,1150592
1628606514,45081216878012,12637741056,1150728
1628606519,45086515330668,12596469760,1151004
1628606524,45092064914656,12711505920,1151148
1628606529,45096152531035,12600401920,1151440
1628606535,45102279669292,12597485568,1151728
1628606540,45106715586393,12664299520,1151872
1628606545,45111471484982,12597870592,1152164
1628606550,45117405185846,12750741504,1152308
1628606555,45121355181212,12628754432,1152616
1628606560,45126847054439,12598628352,1152920
1628606566,45132032693028,12706430976,1153072
1628606571,45136192337959,12601847808,1153380
1628606576,45142180955034,12599984128,1153684
1628606581,45146654257589,12667457536,1153848
1628606586,45151338104815,12599758848,1154168
1628606592,45157136824152,12752986112,1154328
1628606597,45161058304290,12626206720,1154652
1628606602,45166467834306,12601143296,1154976
1628606607,45171815044728,12727447552,1155136
1628606612,45175664025596,12603514880,1155464
1628606617,45181330211875,12601798656,1155804
1628606623,45186235530133,12704440320,1155972
1628606628,45190357553754,12604805120,1156312
1628606633,45196449460017,12607262720,1156652
1628606638,45201122547073,12679520256,1156820
1628606643,45205660709843,12607889408,1157176
1628606648,45211556748179,12761653248,1157528
1628606654,45215691321312,12659920896,1157708
1628606659,45220651691483,12608671744,1158060
1628606664,45226439260244,12762800128,1158236
1628606669,45230227308703,12645052416,1158592
1628606674,45235406420722,12609724416,1158964
1628606679,45240918912060,12757004288,1159148
1628606685,45244809795198,12625600512,1159520
1628606690,45250525046824,12610945024,1159892
1628606695,45255503815080,12716429312,1160076
1628606700,45259582355856,12614561792,1160456
1628606705,45265703605889,12611276800,1160840
1628606710,45270205331883,12677390336,1161036
1628606716,45274838422549,12612444160,1161424
1628606721,45280929763154,12766846976,1161812
1628606726,45284871691442,12649934848,1162008
1628606731,45290398067740,12613206016,1162400
1628606736,45295564866823,12718034944,1162604
1628606741,45299757493972,12613660672,1163008
1628606747,45305950412799,12770496512,1163408
1628606752,45310133170492,12662996992,1163612
1628606757,45315236624890,12618149888,1164016
1628606762,45320876002193,12750323712,1164224
1628606767,45324778168814,12621139968,1164644
1628606772,45330611786153,12619329536,1165064
1628606778,45335522746344,12701925376,1165272
1628606783,45339851253438,12620066816,1165692
1628606788,45345885878748,12774424576,1166120
1628606793,45350324424365,12678873088,1166336
1628606798,45355071634856,12620980224,1166772
1628606803,45360918827248,12773756928,1166992
1628606809,45364746337780,12653170688,1167424
1628606814,45370180179557,12621672448,1167860
1628606819,45375368268777,12734877696,1168080
1628606824,45379351629726,12625985536,1168532
1628606829,45385061245541,12623134720,1168984
1628606834,45389931232308,12707143680,1169208
1628606840,45394201275314,12623765504,1169660
1628606845,45400305227818,12778610688,1170112
1628606850,45404776368808,12686061568,1170344
1628606855,45409400735552,12624965632,1170812
1628606860,45415226147921,12781150208,1171048
1628606865,45419049121719,12657451008,1171516
1628606871,45424579444219,12629090304,1171984
1628606876,45429790957221,12744183808,1172216
1628606881,45433670285250,12632240128,1172692
1628606886,45439580776446,12630941696,1173176
1628606891,45444124116606,12707414016,1173420
1628606896,45448468000612,12631261184,1173904
1628606902,45454483679178,12785053696,1174388
1628606907,45458668704991,12681994240,1174628
1628606912,45463596113588,12632510464,1175128
1628606917,45469443984343,12786085888,1175380
1628606922,45473284023441,12656914432,1175880
1628606927,45478762815162,12634132480,1176380
1628606933,45483927650276,12750532608,1176632
1628606938,45487892814503,12637450240,1177140
1628606943,45493871936906,12634963968,1177656
1628606948,45498452839018,12706910208,1177912
1628606953,45503007252034,12635881472,1178428
1628606958,45508996389606,12791275520,1178944
1628606964,45513020086946,12681306112,1179204
1628606969,45518094075857,12640337920,1179728
1628606974,45523703568307,12792479744,1179996
1628606979,45527493305078,12663472128,1180528
1628606984,45533008122993,12641873920,1181060
1628606989,45538172490701,12751732736,1181328
1628606995,45542244270525,12644810752,1181860
1628607000,45548119236399,12643278848,1182408
1628607005,45552788743384,12717162496,1182680
1628607010,45557198794777,12644421632,1183232
1628607015,45563201063819,12799668224,1183780
1628607020,45567439441544,12695859200,1184052
1628607026,45572376768162,12645449728,1184604
1628607031,45578162980679,12796338176,1184884
1628607036,45582093163573,12648210432,1185448
1628607041,45588139041451,12647624704,1186016
1628607046,45592714129213,12697669632,1186296
1628607051,45597855737633,12647854080,1186860
1628607057,45603528196185,12772052992,1187144
1628607062,45607566355111,12651163648,1187724
1628607067,45613778660494,12804579328,1188308
1628607072,45618298359391,12717424640,1188596
1628607077,45623171019400,12653051904,1189176
1628607082,45628887515875,12801679360,1189468
1628607088,45632726130426,12657360896,1190056
1628607093,45638620989075,12654370816,1190656
1628607098,45643451587400,12727570432,1190952
1628607103,45648161061812,12655497216,1191552
1628607108,45654091896039,12808499200,1191848
1628607114,45658045785078,12658745344,1192448
1628607119,45663922518530,12657156096,1193052
1628607124,45668678316067,12730060800,1193360
1628607129,45673220687513,12658311168,1193972
1628607134,45679317081155,12812886016,1194280
1628607139,45683197149423,12685512704,1194892
1628607145,45689006946350,12659462144,1195504
1628607150,45693976746946,12743450624,1195820
1628607155,45698226883610,12660854784,1196448
1628607160,45704361572155,12817010688,1197080
1628607165,45708666959538,12707246080,1197396
1628607170,45713831466974,12662243328,1198024
1628607176,45719387259364,12774961152,1198340
1628607181,45723626418213,12668108800,1198984
1628607186,45729838418876,12821757952,1199632
1628607191,45734198330477,12720304128,1199952
1628607196,45739195213101,12667797504,1200600
1628607202,45744849063296,12819152896,1200920
1628607207,45748702968156,12672724992,1201576
1628607212,45754346461805,12669480960,1202236
1628607217,45759310634210,12772962304,1202568
1628607222,45763417150043,12672991232,1203232
1628607227,45769353953469,12670574592,1203892
1628607233,45774019883439,12745121792,1204224
1628607238,45778499973159,12672081920,1204892
1628607243,45784616230454,12827910144,1205572
1628607248,45788555922922,12712992768,1205912
1628607253,45793805346064,12673671168,1206588
1628607258,45799220423942,12804132864,1206928
1628607264,45803124172705,12677001216,1207604
1628607269,45808716807363,12675350528,1208300
1628607274,45813684619197,12777226240,1208648
1628607279,45817957204793,12679536640,1209340
1628607284,45824062959228,12836093952,1210036
1628607289,45828536026057,12748304384,1210384
1628607295,45833147579872,12681449472,1211076
1628607300,45839098010682,12837892096,1211788
1628607305,45843254913253,12727750656,1212144
1628607310,45848178703952,12683284480,1212852
1628607315,45853824453503,12832841728,1213208
1628607320,45857709870612,12700606464,1213920
1628607326,45863319998386,12685361152,1214636
1628607331,45868531732643,12800741376,1215000
1628607336,45872463219183,12689158144,1215728
1628607341,45878298895701,12687020032,1216452
1628607346,45883256108921,12788162560,1216816
1628607351,45887482078950,12688183296,1217544
1628607357,45893527763144,12844093440,1218280
1628607362,45897928619038,12747550720,1218648
1628607367,45902802804745,12689674240,1219392
1628607372,45908553688218,12841938944,1219764
1628607377,45912406386238,12693463040,1220508
1628607382,45918386021318,12692217856,1221248
1628607388,45923130960149,12763877376,1221628
1628607393,45927690185085,12693868544,1222388
1628607398,45933896912615,12850499584,1223148
1628607403,45937810895333,12731006976,1223528
1628607408,45943208894288,12695506944,1224284
1628607413,45948489372501,12810522624,1224664
1628607419,45952575645605,12698324992,1225440
1628607424,45958448578395,12697509888,1226216
1628607429,45963103696904,12779565056,1226604
1628607434,45967418105323,12699213824,1227380
1628607439,45973498867009,12855230464,1228152
1628607445,45977863200975,12759281664,1228540
1628607450,45982785973083,12700938240,1229332
1628607455,45988687493072,12855455744,1229728
1628607460,45992505015146,12732989440,1230520
1628607465,45997901713779,12707069952,1231312
1628607470,46003126217873,12819099648,1231708
1628607476,46007266858954,12709617664,1232504
1628607481,46013154710050,12707897344,1233312
1628607486,46017848695108,12781494272,1233716
1628607491,46022480185431,12709756928,1234524
1628607496,46028498860477,12867272704,1235332
1628607501,46032804950487,12760907776,1235736
1628607507,46037812722711,12711895040,1236552
1628607512,46043562945332,12864712704,1236964
1628607517,46047496918296,12742250496,1237788
1628607522,46052956318063,12714008576,1238612
1628607527,46058260820327,12836315136,1239024
1628607532,46062156280685,12717502464,1239844
1628607538,46068025276067,12715941888,1240684
1628607543,46072939306083,12799795200,1241104
1628607548,46077136532579,12717080576,1241944
1628607553,46083192978973,12874121216,1242784
1628607558,46087647048535,12782833664,1243204
1628607563,46092511045710,12719316992,1244044
1628607569,46098406881301,12873949184,1244472
1628607574,46102287772356,12754284544,1245328
1628607579,46107727875875,12721889280,1246184
1628607584,46112834417069,12827090944,1246612
1628607589,46116876903165,12725825536,1247468
1628607594,46123017872760,12723834880,1248332
1628607600,46127606440157,12794654720,1248768
1628607605,46132391588879,12724924416,1249644
1628607610,46138359350213,12879728640,1250080
1628607615,46142268053242,12758102016,1250952
1628607620,46147567997860,12727582720,1251824
1628607625,46153055558052,12859428864,1252268
1628607631,46156919772089,12734377984,1253156
1628607636,46162687590328,12735770624,1254044
1628607641,46167575022201,12819595264,1254488
1628607646,46171801094817,12740337664,1255376
1628607651,46177741547121,12897918976,1256264
1628607656,46182237444093,12814635008,1256716
1628607662,46186823031593,12747866112,1257620
1628607667,46192921483873,12904738816,1258528
1628607672,46196959823456,12795113472,1258980
1628607677,46202067924911,12758790144,1259884
1628607682,46207707740779,12911316992,1260336
1628607687,46211544424132,12782575616,1261256
1628607693,46217166835391,12766191616,1262176
1628607698,46222314919878,12878901248,1262636
1628607703,46226438999535,12773646336,1263560
1628607708,46232358009357,12776005632,1264480
1628607713,46237162149919,12855312384,1264940
1628607718,46241453951126,12780576768,1265876
1628607724,46247408545011,12941824000,1266812
1628607729,46251805550172,12854026240,1267280
1628607734,46256620057691,12791209984,1268220
1628607739,46262485600687,12947480576,1268688
1628607744,46266291907258,12831092736,1269632
1628607749,46271737312147,12800229376,1270584
1628607755,46277173085164,12904976384,1271060
1628607760,46281918259111,12818202624,1272016
1628607765,46288331908179,12962398208,1272968
1628607770,46292398971519,12844032000,1273444
1628607775,46298015134821,12816666624,1274412
1628607780,46303133876751,12931391488,1274900
1628607786,46307469291850,12830089216,1275868
1628607791,46313351098045,12831088640,1276836
1628607796,46318021105798,12906840064,1277320
1628607801,46322452960527,12836024320,1278292
1628607806,46328394542547,12993646592,1279284
1628607811,46332730053997,12892835840,1279776
1628607817,46337605608275,12844470272,1280764
1628607822,46343676638461,13000617984,1281256
1628607827,46347594995699,12884307968,1282240
1628607832,46352928019928,12853805056,1283236
1628607837,46358529847695,13006835712,1283736
1628607842,46362399667967,12864286720,1284736
1628607848,46367995423872,12862230528,1285740
1628607853,46373176654220,12973326336,1286240
1628607858,46377281487752,12872945664,1287240
1628607863,46383248415066,13032480768,1288252
1628607868,46387697771191,12943040512,1288760
1628607873,46392464750050,12881162240,1289776
1628607879,46398381927681,13041016832,1290796
1628607884,46402292434000,12925501440,1291304
1628607889,46407538271165,12891090944,1292320
1628607894,46412894769649,13010071552,1292840
1628607899,46416947545616,12897890304,1293872
1628607904,46422845852294,12903337984,1294908
1628607910,46427497200637,12980113408,1295424
1628607915,46432112964090,12907966464,1296456
1628607920,46438174792759,13066186752,1297492
1628607925,46442578494807,12961734656,1298016
1628607930,46447442915130,12911968256,1299068
1628607935,46453346191115,13069078528,1299592
1628607941,46457330476673,12941656064,1300640
1628607946,46462878471659,12915347456,1301692
1628607951,46468099056770,13031362560,1302216
1628607956,46472150370225,12922789888,1303284
1628607961,46477949474879,12922023936,1304348
1628607966,46482699720458,12995432448,1304884
1628607972,46487309126588,12924100608,1305948
1628607977,46493296696508,13081677824,1307016
1628607982,46497443565935,12971794432,1307556
1628607987,46502579730398,12927574016,1308640
1628607992,46507978511222,13039239168,1309180
1628607997,46512148611488,12929277952,1310264
1628608003,46518563595038,13087035392,1311344
1628608008,46522495724546,12963708928,1311888
1628608013,46528252821559,12938158080,1312976
1628608018,46533218013825,13014212608,1313528
1628608023,46538052527967,12942123008,1314624
1628608029,46544119775077,13094043648,1315176
1628608034,46548150967576,12947468288,1316272
