Date_time,CPU,Memory_Bytes,Disk_Usage,,Reference_time
1629503445,9.53E+11,402018304,199800,,0
1629503446,9.53E+11,402239488,199804,,1
1629503447,9.53E+11,402124800,199812,,2
1629503448,9.53E+11,401903616,199816,,3
1629503450,9.54E+11,402198528,199820,,5
1629503451,9.54E+11,402128896,199828,,6
1629503452,9.54E+11,402321408,199832,,7
1629503453,9.54E+11,402128896,199840,,8
1629503455,9.54E+11,402137088,199844,,10
1629503456,9.54E+11,402096128,199852,,11
1629503457,9.54E+11,402403328,199856,,12
1629503458,9.54E+11,402468864,199864,,13
1629503460,9.55E+11,402083840,199884,,15
1629503461,9.55E+11,402268160,199888,,16
1629503462,9.55E+11,400670720,199896,,17
1629503463,9.55E+11,400445440,199900,,18
1629503465,9.55E+11,400637952,199908,,20
1629503466,9.55E+11,400744448,199912,,21
1629503467,9.55E+11,400969728,199932,,22
1629503468,9.55E+11,400826368,199940,,23
1629503470,9.56E+11,400965632,199944,,25
1629503471,9.56E+11,400818176,199952,,26
1629503472,9.56E+11,400908288,199960,,27
1629503473,9.56E+11,400777216,199964,,28
1629503474,9.56E+11,400781312,199972,,29
1629503476,9.56E+11,400789504,199976,,31
1629503477,9.56E+11,400842752,199984,,32
1629503478,9.56E+11,400904192,199988,,33
1629503479,9.56E+11,400556032,199996,,34
1629503481,9.57E+11,400805888,200016,,36
1629503482,9.57E+11,400826368,200020,,37
1629503484,9.57E+11,400887808,200028,,39
1629503485,9.57E+11,401137664,200032,,40
1629503486,9.57E+11,400941056,200040,,41
1629503487,9.57E+11,401002496,200044,,42
1629503489,9.57E+11,401039360,200052,,44
1629503490,9.58E+11,400834560,200056,,45
1629503491,9.58E+11,401084416,200060,,46
1629503493,9.58E+11,401305600,200068,,48
1629503494,9.58E+11,401182720,200072,,49
1629503495,9.58E+11,401133568,200076,,50
1629503496,9.58E+11,400994304,200100,,51
1629503498,9.58E+11,401190912,200104,,53
1629503499,9.58E+11,401211392,200108,,54
1629503500,9.59E+11,401260544,200112,,55
1629503502,9.59E+11,401076224,200120,,57
1629503503,9.59E+11,400822272,200124,,58
1629503504,9.59E+11,401145856,200128,,59
1629503506,9.59E+11,401059840,200136,,61
1629503507,9.59E+11,401272832,200140,,62
1629503508,9.59E+11,401154048,200148,,63
1629503509,9.59E+11,401358848,200152,,64
1629503511,9.59E+11,401166336,200160,,66
1629503512,9.60E+11,401182720,200164,,67
1629503513,9.60E+11,401313792,200188,,68
1629503514,9.60E+11,401219584,200192,,69
1629503515,9.60E+11,401231872,200200,,70
1629503517,9.60E+11,401313792,200204,,72
1629503518,9.60E+11,401174528,200212,,73
1629503519,9.60E+11,401248256,200216,,74
1629503520,9.60E+11,401342464,200224,,75
1629503521,9.60E+11,401510400,200228,,76
1629503523,9.60E+11,401498112,200236,,78
1629503524,9.61E+11,401195008,200240,,79
1629503525,9.61E+11,401309696,200248,,80
1629503526,9.61E+11,401317888,200268,,81
1629503527,9.61E+11,401305600,200276,,82
1629503529,9.61E+11,401432576,200280,,84
1629503530,9.61E+11,401289216,200288,,85
1629503531,9.61E+11,401428480,200292,,86
1629503532,9.61E+11,401330176,200300,,87
1629503533,9.61E+11,401469440,200304,,88
1629503535,9.61E+11,401260544,200312,,90
1629503536,9.61E+11,401362944,200316,,91
1629503537,9.62E+11,401547264,200324,,92
1629503538,9.62E+11,401379328,200328,,93
1629503539,9.62E+11,401461248,200352,,94
1629503541,9.62E+11,401477632,200360,,96
1629503542,9.62E+11,401420288,200364,,97
1629503543,9.62E+11,401481728,200372,,98
1629503544,9.62E+11,401391616,200376,,99
1629503545,9.62E+11,401567744,200384,,100
1629503547,9.62E+11,401477632,200388,,102
1629503548,9.63E+11,401457152,200396,,103
1629503549,9.63E+11,401547264,200400,,104
1629503550,9.63E+11,401494016,200408,,105
1629503551,9.63E+11,401494016,200412,,106
1629503553,9.63E+11,401543168,200420,,108
1629503554,9.63E+11,401629184,200440,,109
1629503555,9.63E+11,401604608,200448,,110
1629503556,9.63E+11,401498112,200452,,111
1629503557,9.63E+11,401711104,200460,,112
1629503559,9.63E+11,401813504,200464,,114
1629503560,9.64E+11,401743872,200472,,115
1629503561,9.64E+11,401735680,200480,,116
1629503562,9.64E+11,401600512,200484,,117
1629503564,9.64E+11,401752064,200492,,119
1629503565,9.64E+11,401801216,200496,,120
1629503566,9.64E+11,401674240,200504,,121
1629503567,9.64E+11,401883136,200528,,122
1629503568,9.64E+11,401702912,200532,,123
1629503570,9.64E+11,401825792,200536,,125
1629503571,9.64E+11,401649664,200544,,126
1629503572,9.64E+11,401887232,200552,,127
1629503573,9.65E+11,401571840,200556,,128
1629503575,9.65E+11,401494016,200564,,130
1629503576,9.65E+11,401846272,200568,,131
1629503577,9.65E+11,401657856,200576,,132
1629503578,9.65E+11,402006016,200580,,133
1629503579,9.65E+11,401764352,200584,,134
1629503581,9.65E+11,401920000,200608,,136
1629503582,9.65E+11,401707008,200612,,137
1629503583,9.65E+11,401813504,200620,,138
1629503584,9.65E+11,401793024,200624,,139
1629503585,9.66E+11,401887232,200632,,140
1629503587,9.66E+11,402059264,200636,,142
1629503588,9.66E+11,401973248,200640,,143
1629503589,9.66E+11,401887232,200648,,144
1629503590,9.66E+11,402001920,200652,,145
1629503591,9.66E+11,401907712,200660,,146
1629503593,9.66E+11,401833984,200664,,148
1629503594,9.66E+11,401772544,200672,,149
1629503595,9.66E+11,401838080,200696,,150
1629503596,9.66E+11,401846272,200700,,151
1629503597,9.66E+11,401850368,200708,,152
1629503599,9.67E+11,401747968,200712,,154
1629503600,9.67E+11,401784832,200716,,155
1629503601,9.67E+11,401883136,200724,,156
1629503603,9.67E+11,401895424,200728,,158
1629503604,9.67E+11,401936384,200732,,159
1629503605,9.67E+11,401854464,200740,,160
1629503607,9.67E+11,401858560,200744,,162
1629503608,9.67E+11,401776640,200748,,163
1629503609,9.68E+11,401833984,200756,,164
1629503610,9.68E+11,401915904,200776,,165
1629503612,9.68E+11,401854464,200784,,167
1629503613,9.68E+11,401969152,200788,,168
1629503614,9.68E+11,402153472,200796,,169
1629503615,9.68E+11,401907712,200800,,170
1629503616,9.68E+11,401743872,200808,,171
1629503618,9.68E+11,401936384,200812,,173
1629503619,9.68E+11,401920000,200820,,174
1629503620,9.68E+11,401678336,200824,,175
1629503621,9.68E+11,402055168,200832,,176
1629503622,9.69E+11,402190336,200836,,177
1629503624,9.69E+11,401960960,200860,,179
1629503625,9.69E+11,402141184,200868,,180
1629503626,9.69E+11,402030592,200872,,181
1629503627,9.69E+11,402231296,200880,,182
1629503629,9.69E+11,402165760,200884,,184
1629503630,9.69E+11,402173952,200892,,185
1629503631,9.69E+11,402341888,200896,,186
1629503632,9.69E+11,402223104,200904,,187
1629503633,9.69E+11,402083840,200912,,188
1629503634,9.69E+11,402051072,200916,,189
1629503636,9.69E+11,402161664,200924,,191
1629503637,9.70E+11,402120704,200944,,192
1629503638,9.70E+11,402341888,200952,,193
1629503639,9.70E+11,402182144,200956,,194
1629503640,9.70E+11,402219008,200960,,195
1629503642,9.70E+11,402137088,200968,,197
1629503643,9.70E+11,402337792,200976,,198
1629503644,9.70E+11,402219008,200980,,199
1629503645,9.70E+11,402292736,200984,,200
1629503646,9.70E+11,402345984,200992,,201
1629503648,9.70E+11,402231296,201000,,203
1629503649,9.70E+11,402280448,201004,,204
1629503650,9.70E+11,402251776,201012,,205
1629503651,9.70E+11,402153472,201032,,206
1629503652,9.71E+11,402341888,201040,,207
1629503654,9.71E+11,402305024,201044,,209
1629503655,9.71E+11,402214912,201052,,210
1629503656,9.71E+11,402280448,201056,,211
1629503657,9.71E+11,402370560,201064,,212
1629503658,9.71E+11,402407424,201068,,213
1629503660,9.71E+11,402571264,201072,,215
1629503661,9.71E+11,402325504,201080,,216
1629503662,9.71E+11,402309120,201084,,217
1629503663,9.71E+11,402124800,201092,,218
1629503664,9.72E+11,402341888,201112,,219
1629503666,9.72E+11,402423808,201120,,221
1629503667,9.72E+11,402341888,201124,,222
1629503668,9.72E+11,402440192,201132,,223
1629503669,9.72E+11,402505728,201136,,224
1629503671,9.72E+11,402427904,201144,,226
1629503672,9.72E+11,402599936,201148,,227
1629503673,9.72E+11,402456576,201156,,228
1629503674,9.72E+11,402550784,201160,,229
1629503675,9.72E+11,402518016,201168,,230
1629503677,9.72E+11,402538496,201172,,232
1629503678,9.73E+11,402427904,201180,,233
1629503679,9.73E+11,402395136,201200,,234
1629503680,9.73E+11,402771968,201208,,235
1629503681,9.73E+11,402780160,201212,,236
1629503683,9.73E+11,402657280,201220,,238
1629503684,9.73E+11,402771968,201224,,239
1629503685,9.73E+11,402862080,201232,,240
1629503686,9.73E+11,402575360,201240,,241
1629503687,9.73E+11,402694144,201244,,242
1629503689,9.73E+11,402644992,201252,,244
1629503690,9.73E+11,402624512,201256,,245
1629503691,9.73E+11,402894848,201264,,246
1629503692,9.74E+11,402751488,201284,,247
1629503693,9.74E+11,402731008,201292,,248
1629503695,9.74E+11,402812928,201296,,250
1629503696,9.74E+11,402735104,201304,,251
1629503697,9.74E+11,402964480,201308,,252
1629503698,9.74E+11,402706432,201316,,253
1629503699,9.74E+11,402870272,201320,,254
