rewards,downtime
1,39.9448
2,39.946400000000004
3,39.948800000000006
4,39.949600000000004
5,39.95120000000001
6,39.95280000000001
7,39.95360000000001
8,39.95520000000001
9,39.95600000000001
10,39.95760000000001
11,39.95920000000002
12,39.96160000000002
13,39.96320000000002
14,39.96400000000002
15,39.96560000000002
16,39.96720000000003
17,39.970400000000026
18,39.97200000000003
19,39.97360000000003
20,39.97440000000003
21,39.976000000000035
22,39.97680000000003
23,39.978400000000036
24,39.98000000000004
25,39.98080000000004
26,39.98240000000004
27,39.984000000000044
28,39.986400000000046
29,39.98800000000005
30,39.98880000000005
31,39.99040000000005
32,39.992000000000054
33,39.99360000000006
34,39.994400000000056
35,39.99600000000006
36,39.99760000000006
37,39.99840000000006
38,40.000000000000064
39,40.003200000000064
40,40.00400000000006
41,40.005600000000065
42,40.00640000000006
43,40.00800000000007
44,40.00960000000007
45,40.01040000000007
46,40.01200000000007
47,40.013600000000075
48,40.01440000000007
49,40.016000000000076
50,40.019200000000076
51,40.020000000000074
52,40.02160000000008
53,40.02320000000008
54,40.02400000000008
55,40.02560000000008
56,40.02640000000008
57,40.028000000000084
58,40.02960000000009
59,40.030400000000085
60,40.03200000000009
61,40.03360000000009
62,40.036000000000094
63,40.0376000000001
64,40.038400000000095
65,40.0400000000001
66,40.0408000000001
67,40.0424000000001
68,40.0440000000001
69,40.0448000000001
70,40.046400000000105
71,40.04800000000011
72,40.04880000000011
73,40.052000000000106
74,40.05360000000011
75,40.05440000000011
76,40.05600000000011
77,40.05680000000011
78,40.05840000000011
79,40.060000000000116
80,40.060800000000114
81,40.06240000000012
82,40.063200000000116
83,40.06480000000012
84,40.06800000000012
85,40.06880000000012
86,40.07040000000012
87,40.07200000000012
88,40.07280000000012
89,40.074400000000125
90,40.07520000000012
91,40.07680000000013
92,40.077600000000125
93,40.07920000000013
94,40.08080000000013
95,40.08320000000013
96,40.084800000000136
97,40.08640000000014
98,40.08720000000014
99,40.08880000000014
100,40.08960000000014
101,40.09120000000014
102,40.092800000000146
103,40.093600000000144
104,40.09520000000015
105,40.096000000000146
106,40.09760000000015
107,40.10080000000015
108,40.10160000000015
109,40.10320000000015
110,40.10400000000015
111,40.10560000000015
112,40.107200000000155
113,40.10800000000015
114,40.10960000000016
115,40.110400000000155
116,40.11200000000016
117,40.11360000000016
118,40.11600000000016
119,40.11760000000017
120,40.11920000000017
121,40.12000000000017
122,40.12160000000017
123,40.12240000000017
