rewards_per_episode,downtime_per_episode
11711,98.22479999997095
24738,18.75840000000137
37493,19.725600000002444
50336,19.403200000001718
63370,18.708800000001375
76135,19.477600000002106
88910,19.800000000002285
101810,19.30400000000204
114523,19.502400000001987
127454,18.93200000000137
140344,19.20480000000136
153289,18.832800000001374
166151,19.30400000000178
179061,19.080800000001435
192046,18.98160000000142
204972,19.031200000001363
217767,19.452800000002092
230702,19.00640000000138
243589,19.105600000001456
256469,19.35360000000172
269450,18.932000000001366
