Time,Disk_Usage,,Ref_Time
1632138292,0,,519
1632138293,0,,520
1632138295,0,,522
1632138297,0,,524
1632138298,0,,525
1632138300,0,,527
1632138301,0,,528
1632138303,0,,530
1632138305,209,,532
1632138306,0,,533
1632138308,207,,535
1632138310,0,,537
1632138311,209,,538
1632138313,0,,540
1632138315,205,,542
1632138316,0,,543
1632138318,210,,545
1632138319,0,,546
1632138321,0,,548
1632138323,0,,550
1632138324,0,,551
1632138326,0,,553
1632138328,0,,555
1632138329,207,,556
1632138331,0,,558
1632138333,209,,560
1632138334,0,,561
1632138336,209,,563
1632138337,0,,564
1632138339,207,,566
1632138341,0,,568
1632138342,0,,569
1632138344,0,,571
1632138346,0,,573
1632138347,0,,574
1632138349,0,,576
1632138351,208,,578
1632138352,0,,579
1632138354,210,,581
1632138356,0,,583
1632138357,209,,584
1632138359,0,,586
1632138360,210,,587
1632138362,0,,589
1632138364,209,,591
1632138365,0,,592
1632138367,0,,594
1632138369,0,,596
1632138370,0,,597
1632138372,0,,599
1632138374,0,,601
1632138375,209,,602
1632138377,0,,604
1632138378,209,,605
1632138380,0,,607
1632138382,211,,609
1632138383,0,,610
1632138385,208,,612
1632138387,0,,614
1632138388,209,,615
1632138390,0,,617
1632138392,0,,619
1632138393,0,,620
1632138395,0,,622
1632138397,209,,624
1632138398,0,,625
1632138400,209,,627
1632138401,0,,628
1632138403,211,,630
1632138405,0,,632
1632138406,209,,633
1632138408,0,,635
1632138410,209,,637
1632138411,0,,638
1632138413,0,,640
1632138415,0,,642
1632138416,0,,643
1632138418,0,,645
1632138420,0,,647
1632138421,0,,648
1632138423,0,,650
1632138424,209,,651
1632138426,0,,653
1632138428,210,,655
1632138429,0,,656
1632138431,210,,658
1632138433,0,,660
1632138434,209,,661
1632138436,0,,663
1632138438,0,,665
1632138439,0,,666
1632138441,0,,668
1632138442,0,,669
1632138444,0,,671
1632138446,0,,673
1632138447,0,,674
1632138449,208,,676
1632138451,0,,678
1632138452,208,,679
1632138454,0,,681
1632138455,208,,682
1632138457,0,,684
1632138459,209,,686
1632138460,0,,687
1632138462,209,,689
1632138464,0,,691
1632138465,0,,692
1632138467,0,,694
1632138468,0,,695
1632138470,0,,697
1632138472,0,,699
1632138473,208,,700
1632138475,0,,702
1632138477,209,,704
1632138478,0,,705
1632138480,207,,707
1632138482,0,,709
1632138483,211,,710
1632138485,0,,712
1632138487,0,,714
1632138488,0,,715
1632138490,0,,717
1632138491,0,,718
1632138493,0,,720
1632138495,209,,722
1632138496,0,,723
1632138498,209,,725
1632138500,0,,727
1632138501,210,,728
1632138503,0,,730
1632138505,209,,732
1632138506,0,,733
1632138508,209,,735
1632138509,0,,736
1632138511,0,,738
1632138513,0,,740
1632138514,0,,741
1632138516,0,,743
1632138518,0,,745
1632138519,210,,746
1632138521,0,,748
1632138523,211,,750
1632138524,0,,751
1632138526,209,,753
1632138528,0,,755
1632138529,209,,756
1632138531,0,,758
1632138532,208,,759
1632138534,0,,761
1632138536,0,,763
1632138537,0,,764
1632138539,0,,766
1632138541,0,,768
1632138542,0,,769
1632138544,211,,771
1632138545,0,,772
1632138547,209,,774
1632138549,0,,776
1632138550,211,,777
1632138552,0,,779
1632138554,208,,781
1632138555,0,,782
1632138557,209,,784
1632138559,0,,786
1632138560,0,,787
1632138562,0,,789
1632138563,0,,790
1632138565,0,,792
1632138567,0,,794
1632138568,210,,795
1632138570,0,,797
1632138572,209,,799
1632138573,0,,800
1632138575,208,,802
1632138577,0,,804
1632138578,209,,805
1632138580,0,,807
1632138582,211,,809
1632138583,0,,810
1632138585,0,,812
1632138586,0,,813
1632138588,0,,815
1632138590,0,,817
1632138591,0,,818
1632138593,206,,820
1632138595,0,,822
1632138596,207,,823
1632138598,0,,825
1632138600,209,,827
1632138601,0,,828
1632138603,210,,830
1632138604,0,,831
1632138606,210,,833
1632138608,0,,835
1632138609,0,,836
1632138611,0,,838
1632138613,0,,840
1632138614,0,,841
1632138616,0,,843
1632138617,209,,844
1632138619,0,,846
1632138621,208,,848
1632138622,0,,849
1632138624,208,,851
1632138626,0,,853
1632138627,209,,854
1632138629,0,,856
1632138631,209,,858
1632138632,0,,859
1632138634,0,,861
1632138635,0,,862
1632138637,0,,864
1632138639,0,,866
1632138640,0,,867
1632138642,207,,869
1632138644,0,,871
1632138645,209,,872
1632138647,0,,874
1632138648,210,,875
1632138650,0,,877
1632138652,209,,879
1632138653,0,,880
1632138655,208,,882
1632138657,0,,884
1632138658,0,,885
1632138660,0,,887
1632138662,0,,889
1632138663,0,,890
1632138665,0,,892
1632138666,209,,893
1632138668,0,,895
1632138670,210,,897
1632138671,0,,898
1632138673,207,,900
1632138675,0,,902
1632138676,205,,903
1632138678,0,,905
1632138680,210,,907
1632138681,0,,908
1632138683,0,,910
1632138684,0,,911
1632138686,0,,913
1632138688,0,,915
1632138689,0,,916
1632138691,207,,918
1632138693,0,,920
1632138694,206,,921
1632138696,0,,923
1632138697,209,,924
1632138699,0,,926
1632138701,209,,928
1632138702,0,,929
1632138704,210,,931
1632138706,0,,933
1632138707,0,,934
1632138709,0,,936
1632138710,0,,937
1632138712,0,,939
1632138714,0,,941
1632138715,0,,942
1632138717,0,,944
1632138719,210,,946
1632138720,0,,947
1632138722,209,,949
1632138724,0,,951
1632138725,208,,952
1632138727,0,,954
1632138728,208,,955
1632138730,0,,957
1632138732,0,,959
1632138733,0,,960
1632138735,0,,962
1632138737,0,,964
1632138738,0,,965
1632138740,0,,967
1632138742,0,,969
1632138743,208,,970
1632138745,0,,972
1632138746,207,,973
1632138748,0,,975
1632138750,208,,977
1632138751,0,,978
1632138753,211,,980
1632138755,0,,982
1632138756,0,,983
1632138758,0,,985
1632138759,0,,986
1632138761,0,,988
1632138763,0,,990
1632138764,208,,991
1632138766,0,,993
1632138768,210,,995
1632138769,0,,996
1632138771,209,,998
1632138773,0,,1000
1632138774,207,,1001
1632138776,0,,1003
1632138777,209,,1004
1632138779,0,,1006
1632138781,0,,1008
1632138782,0,,1009
1632138784,0,,1011
1632138786,0,,1013
1632138787,0,,1014
1632138789,208,,1016
1632138791,0,,1018
1632138792,206,,1019
1632138794,0,,1021
1632138796,208,,1023
1632138797,0,,1024
1632138799,210,,1026
1632138800,0,,1027
1632138802,0,,1029
1632138804,0,,1031
1632138805,0,,1032
1632138807,0,,1034
1632138809,0,,1036
1632138810,0,,1037
1632138812,0,,1039
1632138814,209,,1041
1632138815,0,,1042
1632138817,209,,1044
1632138818,0,,1045
1632138820,207,,1047
1632138822,0,,1049
1632138823,210,,1050
1632138825,0,,1052
1632138827,0,,1054
1632138828,0,,1055
1632138830,0,,1057
1632138832,0,,1059
1632138833,0,,1060
1632138835,207,,1062
1632138836,0,,1063
1632138838,206,,1065
1632138840,0,,1067
1632138842,209,,1069
1632138843,0,,1070
1632138845,208,,1072
1632138846,0,,1073
1632138848,0,,1075
1632138850,0,,1077
1632138851,0,,1078
1632138853,0,,1080
1632138855,0,,1082
1632138856,207,,1083
1632138858,0,,1085
1632138860,210,,1087
1632138861,0,,1088
1632138863,210,,1090
1632138865,0,,1092
1632138866,208,,1093
1632138868,0,,1095
1632138870,0,,1097
1632138871,0,,1098
1632138873,0,,1100
1632138874,0,,1101
1632138876,0,,1103
1632138878,209,,1105
1632138879,0,,1106
1632138881,210,,1108
1632138883,0,,1110
1632138884,208,,1111
1632138886,0,,1113
1632138888,207,,1115
1632138889,0,,1116
1632138891,206,,1118
1632138893,0,,1120
1632138894,0,,1121
1632138896,0,,1123
1632138897,0,,1124
1632138899,0,,1126
1632138901,0,,1128
1632138902,210,,1129
1632138904,0,,1131
1632138906,211,,1133
1632138907,0,,1134
1632138909,210,,1136
1632138910,0,,1137
1632138912,207,,1139
1632138914,0,,1141
1632138915,209,,1142
1632138917,0,,1144
1632138919,0,,1146
1632138920,0,,1147
1632138922,0,,1149
1632138923,0,,1150
1632138925,0,,1152
1632138927,208,,1154
1632138928,0,,1155
1632138930,205,,1157
1632138932,0,,1159
1632138933,207,,1160
1632138935,0,,1162
1632138937,210,,1164
1632138938,0,,1165
1632138940,207,,1167
1632138942,0,,1169
1632138943,0,,1170
1632138945,0,,1172
1632138946,0,,1173
1632138948,0,,1175
1632138950,0,,1177
1632138951,207,,1178
1632138953,0,,1180
1632138955,208,,1182
1632138956,0,,1183
1632138958,210,,1185
1632138960,0,,1187
1632138961,210,,1188
1632138963,0,,1190
1632138965,0,,1192
1632138966,0,,1193
1632138968,0,,1195
1632138969,0,,1196
1632138971,0,,1198
1632138973,208,,1200
1632138974,0,,1201
1632138976,208,,1203
1632138978,0,,1205
1632138979,210,,1206
1632138981,0,,1208
1632138983,208,,1210
1632138984,0,,1211
1632138986,207,,1213
1632138987,0,,1214
1632138989,0,,1216
1632138991,0,,1218
1632138992,0,,1219
1632138994,0,,1221
1632138996,0,,1223
1632138997,210,,1224
1632138999,0,,1226
1632139001,210,,1228
1632139002,0,,1229
1632139004,208,,1231
1632139005,0,,1232
1632139007,209,,1234
1632139009,0,,1236
1632139010,207,,1237
1632139012,0,,1239
1632139014,0,,1241
1632139015,0,,1242
1632139017,0,,1244
1632139019,0,,1246
1632139020,0,,1247
1632139022,209,,1249
1632139023,0,,1250
1632139025,208,,1252
1632139027,0,,1254
1632139028,210,,1255
1632139030,0,,1257
1632139032,208,,1259
1632139033,0,,1260
1632139035,0,,1262
1632139036,0,,1263
1632139038,0,,1265
1632139040,0,,1267
1632139041,0,,1268
1632139043,0,,1270
1632139045,0,,1272
1632139046,209,,1273
1632139048,0,,1275
1632139050,208,,1277
1632139051,0,,1278
1632139053,208,,1280
1632139055,0,,1282
1632139056,208,,1283
1632139058,0,,1285
1632139060,0,,1287
1632139061,0,,1288
1632139063,0,,1290
1632139064,0,,1291
1632139066,0,,1293
1632139068,209,,1295
1632139069,0,,1296
1632139071,208,,1298
1632139073,0,,1300
1632139074,208,,1301
1632139076,0,,1303
1632139078,210,,1305
1632139079,0,,1306
1632139081,0,,1308
1632139082,0,,1309
1632139084,0,,1311
1632139086,0,,1313
1632139087,0,,1314
1632139089,205,,1316
1632139091,0,,1318
1632139092,204,,1319
1632139094,0,,1321
1632139096,208,,1323
1632139097,0,,1324
1632139099,210,,1326
1632139101,0,,1328
1632139102,209,,1329
1632139104,0,,1331
1632139105,0,,1332
1632139107,0,,1334
1632139109,0,,1336
1632139110,0,,1337
1632139112,0,,1339
1632139114,206,,1341
1632139115,0,,1342
1632139117,209,,1344
1632139118,0,,1345
1632139120,209,,1347
1632139122,0,,1349
1632139123,208,,1350
1632139125,0,,1352
1632139127,208,,1354
1632139128,0,,1355
1632139130,0,,1357
1632139132,0,,1359
1632139133,0,,1360
1632139135,0,,1362
1632139136,0,,1363
1632139138,207,,1365
1632139140,0,,1367
1632139141,210,,1368
1632139143,0,,1370
1632139145,207,,1372
1632139146,0,,1373
1632139148,208,,1375
1632139150,0,,1377
1632139151,207,,1378
1632139153,0,,1380
1632139154,0,,1381
1632139156,0,,1383
1632139158,0,,1385
1632139159,0,,1386
1632139161,0,,1388
1632139163,207,,1390
1632139164,0,,1391
1632139166,208,,1393
1632139167,0,,1394
1632139169,209,,1396
1632139171,0,,1398
1632139172,207,,1399
1632139174,0,,1401
1632139176,208,,1403
1632139177,0,,1404
1632139179,0,,1406
1632139180,0,,1407
1632139182,0,,1409
1632139184,0,,1411
1632139185,0,,1412
1632139187,210,,1414
1632139189,0,,1416
1632139190,207,,1417
1632139192,0,,1419
1632139194,206,,1421
1632139195,0,,1422
1632139197,209,,1424
1632139198,0,,1425
1632139200,210,,1427
1632139202,0,,1429
1632139203,0,,1430
1632139205,0,,1432
1632139207,0,,1434
1632139208,0,,1435
1632139210,0,,1437
1632139212,210,,1439
1632139213,0,,1440
1632139215,207,,1442
1632139216,0,,1443
1632139218,207,,1445
1632139220,0,,1447
1632139221,209,,1448
1632139223,0,,1450
1632139225,209,,1452
1632139226,0,,1453
1632139228,0,,1455
1632139230,0,,1457
1632139231,0,,1458
1632139233,0,,1460
1632139234,0,,1461
1632139236,210,,1463
1632139238,0,,1465
1632139239,209,,1466
1632139241,0,,1468
1632139243,208,,1470
1632139244,0,,1471
1632139246,209,,1473
1632139248,0,,1475
1632139249,210,,1476
1632139251,0,,1478
1632139252,0,,1479
1632139254,0,,1481
1632139256,0,,1483
1632139257,209,,1484
1632139259,0,,1486
1632139261,210,,1488
1632139262,0,,1489
1632139264,209,,1491
1632139265,0,,1492
1632139267,208,,1494
1632139269,0,,1496
1632139270,208,,1497
1632139272,0,,1499
1632139274,207,,1501
1632139275,0,,1502
1632139277,0,,1504
1632139278,0,,1505
1632139280,0,,1507
1632139282,0,,1509
1632139283,0,,1510
1632139285,208,,1512
1632139287,0,,1514
1632139288,208,,1515
1632139290,0,,1517
1632139292,209,,1519
1632139293,0,,1520
1632139295,207,,1522
1632139296,0,,1523
1632139298,209,,1525
1632139300,0,,1527
1632139301,0,,1528
1632139303,0,,1530
1632139305,0,,1532
1632139306,0,,1533
1632139308,0,,1535
1632139309,0,,1536
1632139311,0,,1538
1632139313,210,,1540
1632139314,0,,1541
1632139316,205,,1543
1632139318,0,,1545
1632139319,211,,1546
1632139321,0,,1548
1632139322,210,,1549
1632139324,0,,1551
1632139326,211,,1553
1632139327,0,,1554
1632139329,0,,1556
1632139331,0,,1558
1632139332,0,,1559
1632139334,0,,1561
1632139335,0,,1562
1632139337,208,,1564
1632139339,0,,1566
1632139340,209,,1567
1632139342,0,,1569
1632139344,210,,1571
1632139345,0,,1572
1632139347,209,,1574
1632139349,0,,1576
1632139350,208,,1577
1632139352,0,,1579
1632139353,0,,1580
1632139355,0,,1582
1632139357,0,,1584
1632139358,0,,1585
1632139360,0,,1587
1632139362,210,,1589
1632139363,0,,1590
1632139365,207,,1592
1632139367,0,,1594
1632139368,209,,1595
1632139370,0,,1597
1632139371,208,,1598
1632139373,0,,1600
