current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
46208,3884.715,9,42323.285
46208,3652.992,9,42555.008
46208,3484.508,9,42723.492
46208,3206.21,9,43001.79
46208,2975.14,9,43232.86
46208,2737.785,9,43470.215
46208,2565.39,9,43642.61
46208,2373.184,9,43834.816
46208,2229.73,9,43978.27
46208,1967.297,9,44240.703
46208,1657.73,9,44550.27
46208,1426.14,9,44781.86
46208,1194.727,9,45013.273
46208,1027.043,9,45180.957
46208,837.375,9,45370.625
46208,607.504,9,45600.496
46208,345.215,9,45862.785
46208,150.13,9,46057.87
51208,57.773,10,46265.773
51208,4788.72,10,46419.28
51208,4519.637,10,46688.363
51208,4293.793,10,46914.207
51208,4059.3,10,47148.7
51208,3799.617,10,47408.383
51208,3607.1,10,47600.9
51208,3312.86,10,47895.14
51208,3071.984,10,48136.016
51208,2829.082,10,48378.918
51208,2653.54,10,48554.46
51208,2459.73,10,48748.27
51208,2315.918,10,48892.082
51208,2053.562,10,49154.438
51208,1743.8,10,49464.2
51208,1512.242,10,49695.758
51208,1281.094,10,49926.906
51208,1113.934,10,50094.066
51208,925.184,10,50282.816
51208,696.01,10,50511.99
51208,434.363,10,50773.637
51208,240.195,10,50967.805
51208,34.125,10,51173.875
56208,117.06,11,51325.06
56208,4615.664,11,51592.336
56208,4391.08,11,51816.92
56208,4157.832,11,52050.168
56208,3898.754,11,52309.246
56208,3706.68,11,52501.32
56208,3501.297,11,52706.703
56208,3262.023,11,52945.977
56208,2994.254,11,53213.746
56208,2796.402,11,53411.598
56208,2587.562,11,53620.438
56208,2434.45,11,53773.55
56208,2166.14,11,54041.86
56208,1940.883,11,54267.117
56208,1707.473,11,54500.527
56208,1537.547,11,54670.453
56208,1347.617,11,54860.383
56208,1206.258,11,55001.742
56208,945.51,11,55262.49
56208,635.637,11,55572.363
56208,403.01,11,55804.99
56208,170.863,11,56037.137
56208,2.805,11,56205.195
61208,274.906,12,56482.906
61208,4493.992,12,56714.008
61208,4257.03,12,56950.97
61208,4085.37,12,57122.63
61208,3894.33,12,57313.67
61208,3753.02,12,57454.98
61208,3493.3,12,57714.7
