Time,Disk_Usage,,Reference_Time
1631982993,303,,542
1631982994,303,,543
1631982996,304,,545
1631982998,0,,547
1631982999,304,,548
1631983001,304,,550
1631983003,304,,552
1631983005,304,,554
1631983006,304,,555
1631983008,304,,557
1631983010,304,,559
1631983011,0,,560
1631983013,304,,562
1631983015,304,,564
1631983017,304,,566
1631983018,304,,567
1631983020,304,,569
1631983022,304,,571
1631983023,304,,572
1631983025,304,,574
1631983027,304,,576
1631983029,304,,578
1631983030,304,,579
1631983032,304,,581
1631983034,0,,583
1631983035,304,,584
1631983037,304,,586
1631983039,304,,588
1631983040,303,,589
1631983042,0,,591
1631983044,303,,593
1631983045,303,,594
1631983047,303,,596
1631983049,303,,598
1631983051,304,,600
1631983052,304,,601
1631983054,304,,603
1631983056,304,,605
1631983057,304,,606
1631983059,304,,608
1631983061,304,,610
1631983063,304,,612
1631983064,0,,613
1631983066,304,,615
1631983068,304,,617
1631983069,304,,618
1631983071,303,,620
1631983073,303,,622
1631983075,303,,624
1631983076,304,,625
1631983078,304,,627
1631983080,304,,629
1631983081,303,,630
1631983083,303,,632
1631983085,303,,634
1631983086,0,,635
1631983088,304,,637
1631983090,304,,639
1631983092,303,,641
1631983093,303,,642
1631983095,0,,644
1631983097,304,,646
1631983098,304,,647
1631983100,304,,649
1631983102,304,,651
1631983104,304,,653
1631983105,304,,654
1631983107,304,,656
1631983109,0,,658
1631983110,304,,659
1631983112,304,,661
1631983114,304,,663
1631983116,304,,665
1631983117,0,,666
1631983119,304,,668
1631983121,304,,670
1631983122,304,,671
1631983124,304,,673
1631983126,304,,675
1631983128,304,,677
1631983129,304,,678
1631983131,0,,680
1631983133,304,,682
1631983134,304,,683
1631983136,303,,685
1631983138,303,,687
1631983139,0,,688
1631983141,304,,690
1631983143,304,,692
1631983145,304,,694
1631983146,304,,695
1631983148,304,,697
1631983150,304,,699
1631983151,304,,700
1631983153,0,,702
1631983155,304,,704
1631983157,304,,706
1631983158,304,,707
1631983160,304,,709
1631983162,304,,711
1631983163,304,,712
1631983165,304,,714
1631983167,0,,716
1631983169,304,,718
