current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
204836.9823,974.1069436,0.00517861,204738
204836.9823,974.1069436,0.00517861,204743
204836.9823,974.1069436,0.00517861,204749
204836.9823,974.1069436,0.00517861,204754
204836.9823,974.1069436,0.00517861,204759
204836.9823,974.1069436,0.00517861,204765
204836.9823,974.1069436,0.00517861,204770
204836.9823,974.1069436,0.00517861,204775
204836.9823,974.1069436,0.00517861,204781
204836.9823,974.1069436,0.00517861,204786
204836.9823,974.1069436,0.00517861,204791
204836.9823,974.1069436,0.00517861,204797
204836.9823,974.1069436,0.00517861,204802
204836.9823,974.1069436,0.00517861,204808
204836.9823,974.1069436,0.00517861,204813
204836.9823,974.1069436,0.00517861,204818
204836.9823,974.1069436,0.00517861,204824
204836.9823,974.1069436,0.00517861,204829
204836.9823,974.1069436,0.00517861,204834
204936.9823,1071.33206,0.00573359,204840
204936.9823,1071.33206,0.00573359,204845
204936.9823,1071.33206,0.00573359,204850
204936.9823,1071.33206,0.00573359,204856
204936.9823,1071.33206,0.00573359,204861
204936.9823,1071.33206,0.00573359,204867
204936.9823,1071.33206,0.00573359,204872
204936.9823,1071.33206,0.00573359,204877
204936.9823,1071.33206,0.00573359,204883
204936.9823,1071.33206,0.00573359,204888
204936.9823,1071.33206,0.00573359,204893
204936.9823,1071.33206,0.00573359,204899
204936.9823,1071.33206,0.00573359,204904
204936.9823,1071.33206,0.00573359,204909
204936.9823,1071.33206,0.00573359,204915
204936.9823,1071.33206,0.00573359,204920
204936.9823,1071.33206,0.00573359,204926
204936.9823,1071.33206,0.00573359,204931
204936.9823,1071.33206,0.00573359,204936
205036.9823,1166.670959,0.00666581,204942
205036.9823,1166.670959,0.00666581,204947
205036.9823,1166.670959,0.00666581,204952
205036.9823,1166.670959,0.00666581,204958
205036.9823,1166.670959,0.00666581,204963
205036.9823,1166.670959,0.00666581,204968
205036.9823,1166.670959,0.00666581,204974
205036.9823,1166.670959,0.00666581,204979
205036.9823,1166.670959,0.00666581,204985
205036.9823,1166.670959,0.00666581,204990
205036.9823,1166.670959,0.00666581,204995
205036.9823,1166.670959,0.00666581,205001
205036.9823,1166.670959,0.00666581,205006
205036.9823,1166.670959,0.00666581,205011
205036.9823,1166.670959,0.00666581,205017
205036.9823,1166.670959,0.00666581,205022
205036.9823,1166.670959,0.00666581,205027
205036.9823,1166.670959,0.00666581,205033
205136.9823,1265.486072,0.00690279,205038
205136.9823,1265.486072,0.00690279,205044
205136.9823,1265.486072,0.00690279,205049
205136.9823,1265.486072,0.00690279,205054
205136.9823,1265.486072,0.00690279,205060
205136.9823,1265.486072,0.00690279,205065
205136.9823,1265.486072,0.00690279,205070
205136.9823,1265.486072,0.00690279,205076
205136.9823,1265.486072,0.00690279,205081
205136.9823,1265.486072,0.00690279,205086
205136.9823,1265.486072,0.00690279,205092
205136.9823,1265.486072,0.00690279,205097
205136.9823,1265.486072,0.00690279,205103
205136.9823,1265.486072,0.00690279,205108
205136.9823,1265.486072,0.00690279,205113
205136.9823,1265.486072,0.00690279,205119
205136.9823,1265.486072,0.00690279,205124
205136.9823,1265.486072,0.00690279,205129
205136.9823,1265.486072,0.00690279,205135
205236.9823,1362.414967,0.00751701,205140
205236.9823,1362.414967,0.00751701,205145
205236.9823,1362.414967,0.00751701,205151
205236.9823,1362.414967,0.00751701,205156
205236.9823,1362.414967,0.00751701,205162
205236.9823,1362.414967,0.00751701,205167
205236.9823,1362.414967,0.00751701,205172
205236.9823,1362.414967,0.00751701,205178
205236.9823,1362.414967,0.00751701,205183
205236.9823,1362.414967,0.00751701,205188
205236.9823,1362.414967,0.00751701,205194
205236.9823,1362.414967,0.00751701,205199
205236.9823,1362.414967,0.00751701,205204
205236.9823,1362.414967,0.00751701,205210
205236.9823,1362.414967,0.00751701,205215
205236.9823,1362.414967,0.00751701,205220
205236.9823,1362.414967,0.00751701,205226
205236.9823,1362.414967,0.00751701,205231
205236.9823,1362.414967,0.00751701,205237
205336.9823,1457.457644,0.00850847,205242
205336.9823,1457.457644,0.00850847,205247
205336.9823,1457.457644,0.00850847,205253
205336.9823,1457.457644,0.00850847,205258
205336.9823,1457.457644,0.00850847,205263
205336.9823,1457.457644,0.00850847,205269
205336.9823,1457.457644,0.00850847,205274
205336.9823,1457.457644,0.00850847,205279
205336.9823,1457.457644,0.00850847,205285
205336.9823,1457.457644,0.00850847,205290
205336.9823,1457.457644,0.00850847,205296
205336.9823,1457.457644,0.00850847,205301
205336.9823,1457.457644,0.00850847,205306
205336.9823,1457.457644,0.00850847,205312
205336.9823,1457.457644,0.00850847,205317
205336.9823,1457.457644,0.00850847,205322
205336.9823,1457.457644,0.00850847,205328
205336.9823,1457.457644,0.00850847,205333
205436.9823,1555.976535,0.00880469,205338
205436.9823,1555.976535,0.00880469,205344
205436.9823,1555.976535,0.00880469,205349
205436.9823,1555.976535,0.00880469,205355
205436.9823,1555.976535,0.00880469,205360
205436.9823,1555.976535,0.00880469,205365
205436.9823,1555.976535,0.00880469,205371
205436.9823,1555.976535,0.00880469,205376
205436.9823,1555.976535,0.00880469,205381
205436.9823,1555.976535,0.00880469,205387
205436.9823,1555.976535,0.00880469,205392
205436.9823,1555.976535,0.00880469,205397
205436.9823,1555.976535,0.00880469,205403
205436.9823,1555.976535,0.00880469,205408
205436.9823,1555.976535,0.00880469,205414
205436.9823,1555.976535,0.00880469,205419
205436.9823,1555.976535,0.00880469,205424
205436.9823,1555.976535,0.00880469,205430
205436.9823,1555.976535,0.00880469,205435
205536.9823,1652.609208,0.00947816,205440
205536.9823,1652.609208,0.00947816,205446
205536.9823,1652.609208,0.00947816,205451
205536.9823,1652.609208,0.00947816,205456
205536.9823,1652.609208,0.00947816,205462
205536.9823,1652.609208,0.00947816,205467
205536.9823,1652.609208,0.00947816,205473
205536.9823,1652.609208,0.00947816,205478
205536.9823,1652.609208,0.00947816,205483
205536.9823,1652.609208,0.00947816,205489
205536.9823,1652.609208,0.00947816,205494
205536.9823,1652.609208,0.00947816,205499
205536.9823,1652.609208,0.00947816,205505
205536.9823,1652.609208,0.00947816,205510
205536.9823,1652.609208,0.00947816,205515
205536.9823,1652.609208,0.00947816,205521
205536.9823,1652.609208,0.00947816,205526
205536.9823,1652.609208,0.00947816,205532
205536.9823,1652.609208,0.00947816,205537
205636.9823,1747.355663,0.01052887,205542
205636.9823,1747.355663,0.01052887,205548
205636.9823,1747.355663,0.01052887,205553
205636.9823,1747.355663,0.01052887,205558
205636.9823,1747.355663,0.01052887,205564
205636.9823,1747.355663,0.01052887,205569
205636.9823,1747.355663,0.01052887,205574
205636.9823,1747.355663,0.01052887,205580
205636.9823,1747.355663,0.01052887,205585
205636.9823,1747.355663,0.01052887,205590
205636.9823,1747.355663,0.01052887,205596
205636.9823,1747.355663,0.01052887,205601
205636.9823,1747.355663,0.01052887,205607
205636.9823,1747.355663,0.01052887,205612
205636.9823,1747.355663,0.01052887,205617
205636.9823,1747.355663,0.01052887,205623
205636.9823,1747.355663,0.01052887,205628
205636.9823,1747.355663,0.01052887,205633
205736.9823,1845.578333,0.01088433,205639
205736.9823,1845.578333,0.01088433,205644
205736.9823,1845.578333,0.01088433,205649
205736.9823,1845.578333,0.01088433,205655
205736.9823,1845.578333,0.01088433,205660
205736.9823,1845.578333,0.01088433,205666
205736.9823,1845.578333,0.01088433,205671
205736.9823,1845.578333,0.01088433,205676
205736.9823,1845.578333,0.01088433,205682
205736.9823,1845.578333,0.01088433,205687
205736.9823,1845.578333,0.01088433,205692
205736.9823,1845.578333,0.01088433,205698
205736.9823,1845.578333,0.01088433,205703
205736.9823,1845.578333,0.01088433,205708
205736.9823,1845.578333,0.01088433,205714
205736.9823,1845.578333,0.01088433,205719
205736.9823,1845.578333,0.01088433,205725
205736.9823,1845.578333,0.01088433,205730
205736.9823,1845.578333,0.01088433,205735
205836.9823,1941.914784,0.01161704,205741
205836.9823,1941.914784,0.01161704,205746
205836.9823,1941.914784,0.01161704,205751
205836.9823,1941.914784,0.01161704,205757
205836.9823,1941.914784,0.01161704,205762
205836.9823,1941.914784,0.01161704,205767
205836.9823,1941.914784,0.01161704,205773
205836.9823,1941.914784,0.01161704,205778
205836.9823,1941.914784,0.01161704,205784
205836.9823,1941.914784,0.01161704,205789
205836.9823,1941.914784,0.01161704,205794
205836.9823,1941.914784,0.01161704,205800
205836.9823,1941.914784,0.01161704,205805
205836.9823,1941.914784,0.01161704,205810
205836.9823,1941.914784,0.01161704,205816
205836.9823,1941.914784,0.01161704,205821
205836.9823,1941.914784,0.01161704,205826
205836.9823,1941.914784,0.01161704,205832
205936.9823,2041.72745,0.01165451,205837
205936.9823,2041.72745,0.01165451,205843
205936.9823,2041.72745,0.01165451,205848
205936.9823,2041.72745,0.01165451,205853
205936.9823,2041.72745,0.01165451,205859
205936.9823,2041.72745,0.01165451,205864
205936.9823,2041.72745,0.01165451,205869
205936.9823,2041.72745,0.01165451,205875
205936.9823,2041.72745,0.01165451,205880
205936.9823,2041.72745,0.01165451,205885
205936.9823,2041.72745,0.01165451,205891
205936.9823,2041.72745,0.01165451,205896
205936.9823,2041.72745,0.01165451,205902
205936.9823,2041.72745,0.01165451,205907
205936.9823,2041.72745,0.01165451,205912
205936.9823,2041.72745,0.01165451,205918
205936.9823,2041.72745,0.01165451,205923
205936.9823,2041.72745,0.01165451,205928
205936.9823,2041.72745,0.01165451,205934
206036.9823,2139.653898,0.01206922,205939
206036.9823,2139.653898,0.01206922,205944
206036.9823,2139.653898,0.01206922,205950
206036.9823,2139.653898,0.01206922,205955
206036.9823,2139.653898,0.01206922,205961
206036.9823,2139.653898,0.01206922,205966
206036.9823,2139.653898,0.01206922,205971
206036.9823,2139.653898,0.01206922,205977
206036.9823,2139.653898,0.01206922,205982
206036.9823,2139.653898,0.01206922,205987
206036.9823,2139.653898,0.01206922,205993
206036.9823,2139.653898,0.01206922,205998
206036.9823,2139.653898,0.01206922,206003
206036.9823,2139.653898,0.01206922,206009
206036.9823,2139.653898,0.01206922,206014
