Time,Disk_Usage,,Ref_Time
1632127220,207,,518
1632127222,209,,520
1632127223,207,,521
1632127225,208,,523
1632127226,207,,524
1632127228,206,,526
1632127230,206,,528
1632127231,206,,529
1632127233,0,,531
1632127235,206,,533
1632127236,0,,534
1632127238,209,,536
1632127239,0,,537
1632127241,206,,539
1632127243,209,,541
1632127244,209,,542
1632127246,207,,544
1632127248,209,,546
1632127249,208,,547
1632127251,207,,549
1632127252,202,,550
1632127254,203,,552
1632127256,202,,554
1632127257,0,,555
1632127259,207,,557
1632127261,207,,559
1632127262,205,,560
1632127264,208,,562
1632127266,208,,564
1632127267,207,,565
1632127269,206,,567
1632127270,206,,568
1632127272,206,,570
1632127274,207,,572
1632127275,205,,573
1632127277,206,,575
1632127278,0,,576
1632127280,206,,578
1632127282,0,,580
1632127283,207,,581
1632127285,206,,583
1632127287,206,,585
1632127288,206,,586
1632127290,205,,588
1632127292,204,,590
1632127293,207,,591
1632127295,206,,593
1632127296,208,,594
1632127298,209,,596
1632127300,207,,598
1632127301,208,,599
1632127303,0,,601
1632127305,206,,603
1632127306,0,,604
1632127308,209,,606
1632127309,209,,607
1632127311,209,,609
1632127313,204,,611
1632127314,206,,612
1632127316,206,,614
1632127318,209,,616
1632127319,208,,617
1632127321,207,,619
1632127322,206,,620
1632127324,207,,622
1632127326,207,,624
1632127327,0,,625
1632127329,207,,627
1632127331,207,,629
1632127332,207,,630
1632127334,205,,632
1632127335,207,,633
1632127337,206,,635
1632127339,208,,637
1632127340,207,,638
1632127342,209,,640
1632127344,209,,642
1632127345,209,,643
1632127347,208,,645
1632127348,0,,646
1632127350,207,,648
1632127352,0,,650
1632127353,202,,651
1632127355,0,,653
1632127357,208,,655
1632127358,208,,656
1632127360,209,,658
1632127361,205,,659
1632127363,206,,661
1632127365,206,,663
1632127366,209,,664
1632127368,207,,666
1632127370,207,,668
1632127371,205,,669
1632127373,204,,671
1632127374,203,,672
1632127376,0,,674
1632127378,208,,676
1632127379,0,,677
1632127381,207,,679
1632127383,207,,681
1632127384,208,,682
1632127386,209,,684
1632127387,207,,685
1632127389,206,,687
1632127391,207,,689
1632127392,207,,690
1632127394,207,,692
1632127396,204,,694
1632127397,205,,695
1632127399,206,,697
1632127400,205,,698
1632127402,205,,700
1632127404,0,,702
1632127405,205,,703
1632127407,0,,705
1632127408,208,,706
1632127410,0,,708
1632127412,205,,710
1632127413,206,,711
1632127415,207,,713
1632127417,207,,715
1632127418,208,,716
1632127420,204,,718
1632127421,204,,719
1632127423,206,,721
1632127425,209,,723
1632127426,206,,724
1632127428,0,,726
1632127430,204,,728
1632127431,0,,729
1632127433,206,,731
1632127435,203,,733
1632127436,204,,734
