current_allocated_disk_space,unused_allocated_disk_space,total_downtime,original_value
26.896,3.424448,1,23.471552
26.896,3.420477,1,23.475523
26.896,3.416508,1,23.479492
26.896,3.412567,1,23.483433
26.896,3.40861,1,23.48739
26.896,3.404665,1,23.491335
26.896,3.400704,1,23.495296
26.896,3.396744,1,23.499256
26.896,3.39279,1,23.50321
26.896,3.388834,1,23.507166
26.896,3.384873,1,23.511127
26.896,3.377037,1,23.518963
26.896,3.373373,1,23.522627
26.896,3.369186,1,23.526814
26.896,3.365154,1,23.530846
26.896,3.36114,1,23.53486
26.896,3.357176,1,23.538824
26.896,3.353214,1,23.542786
26.896,3.349257,1,23.546743
26.896,3.345293,1,23.550707
26.896,3.341343,1,23.554657
26.896,3.337391,1,23.558609
26.896,3.333433,1,23.562567
26.896,3.329477,1,23.566523
26.896,3.325516,1,23.570484
26.896,3.321568,1,23.574432
26.896,3.31372,1,23.58228
26.896,3.310057,1,23.585943
26.896,3.305863,1,23.590137
26.896,3.301838,1,23.594162
26.896,3.297834,1,23.598166
26.896,3.29387,1,23.60213
26.896,3.289898,1,23.606102
26.896,3.285944,1,23.610056
26.896,3.281992,1,23.614008
26.896,3.278038,1,23.617962
26.896,3.274082,1,23.621918
26.896,3.27012,1,23.62588
26.896,3.266161,1,23.629839
26.896,3.262215,1,23.633785
26.896,3.258251,1,23.637749
26.896,3.250408,1,23.645592
26.896,3.246744,1,23.649256
26.896,3.24256,1,23.65344
26.896,3.238522,1,23.657478
26.896,3.234518,1,23.661482
26.896,3.230541,1,23.665459
26.896,3.22659,1,23.66941
26.896,3.222624,1,23.673376
26.896,3.218666,1,23.677334
26.896,3.214707,1,23.681293
26.896,3.210753,1,23.685247
26.896,3.206797,1,23.689203
26.896,3.202843,1,23.693157
26.896,3.195,1,23.701
26.896,3.191341,1,23.704659
26.896,3.187153,1,23.708847
26.896,3.183115,1,23.712885
26.896,3.179113,1,23.716887
26.896,3.175146,1,23.720854
26.896,3.171173,1,23.724827
26.896,3.167221,1,23.728779
26.896,3.163263,1,23.732737
26.896,3.159315,1,23.736685
26.896,3.155357,1,23.740643
26.896,3.151398,1,23.744602
26.896,3.147455,1,23.748545
26.896,3.143488,1,23.752512
26.896,3.13953,1,23.75647
26.896,3.13557,1,23.76043
26.896,3.131613,1,23.764387
26.896,3.12766,1,23.76834
26.896,3.1198,1,23.7762
26.896,3.120037,1,23.775963
26.896,3.11166,1,23.78434
26.896,3.108143,1,23.787857
26.896,3.103985,1,23.792015
26.896,3.099985,1,23.796015
26.896,3.095986,1,23.800014
26.896,3.092018,1,23.803982
26.896,3.088057,1,23.807943
26.896,3.084108,1,23.811892
26.896,3.080147,1,23.815853
26.896,3.076187,1,23.819813
26.896,3.072222,1,23.823778
26.896,3.068268,1,23.827732
26.896,3.06432,1,23.83168
26.896,3.060354,1,23.835646
26.896,3.056395,1,23.839605
26.896,3.05244,1,23.84356
26.896,2.361048,1,24.534952
26.896,2.409735,1,24.486265
26.896,2.365301,1,24.530699
26.896,2.348278,1,24.547722
26.896,2.332724,1,24.563276
26.896,2.326685,1,24.569315
26.896,2.32193,1,24.57407
26.896,2.318102,1,24.577898
26.896,2.314509,1,24.581491
26.896,2.310928,1,24.585072
26.896,2.30729,1,24.58871
26.896,2.303578,1,24.592422
26.896,2.299778,1,24.596222
26.896,2.295927,1,24.600073
26.896,2.292036,1,24.603964
26.896,2.288118,1,24.607882
26.896,2.28419,1,24.61181
26.896,2.280256,1,24.615744
26.896,2.276318,1,24.619682
26.896,2.272354,1,24.623646
26.896,2.268406,1,24.627594
26.896,2.26444,1,24.63156
26.896,2.260483,1,24.635517
26.896,2.256516,1,24.639484
26.896,2.252565,1,24.643435
26.896,2.248594,1,24.647406
26.896,2.244637,1,24.651363
26.896,2.240677,1,24.655323
26.896,2.232817,1,24.663183
26.896,2.229145,1,24.666855
26.896,2.224947,1,24.671053
26.896,2.220919,1,24.675081
26.896,2.216919,1,24.679081
26.896,2.212946,1,24.683054
26.896,2.208979,1,24.687021
26.896,2.205025,1,24.690975
26.896,2.201061,1,24.694939
26.896,2.197107,1,24.698893
26.896,2.19314,1,24.70286
26.896,2.189182,1,24.706818
26.896,2.185223,1,24.710777
26.896,2.177355,1,24.718645
26.896,2.173683,1,24.722317
26.896,2.1695,1,24.7265
26.896,2.16546,1,24.73054
26.896,2.161457,1,24.734543
26.896,2.157484,1,24.738516
26.896,2.153517,1,24.742483
26.896,2.14956,1,24.74644
26.896,2.145603,1,24.750397
26.896,2.141646,1,24.754354
26.896,2.137674,1,24.758326
26.896,2.13372,1,24.76228
26.896,2.129755,1,24.766245
26.896,2.125803,1,24.770197
26.896,2.121838,1,24.774162
26.896,2.11787,1,24.77813
26.896,2.113905,1,24.782095
26.896,2.106043,1,24.789957
26.896,2.102387,1,24.793613
26.896,2.098188,1,24.797812
26.896,2.094149,1,24.801851
26.896,2.090145,1,24.805855
26.896,2.086187,1,24.809813
26.896,2.082203,1,24.813797
26.896,2.078259,1,24.817741
26.896,2.074278,1,24.821722
26.896,2.070318,1,24.825682
26.896,2.066368,1,24.829632
26.896,2.062409,1,24.833591
26.896,2.05844,1,24.83756
26.896,2.050566,1,24.845434
26.896,2.046906,1,24.849094
26.896,2.042713,1,24.853287
26.896,2.03868,1,24.85732
26.896,2.034672,1,24.861328
26.896,2.030695,1,24.865305
26.896,2.02673,1,24.86927
26.896,2.022762,1,24.873238
26.896,2.018808,1,24.877192
26.896,2.014853,1,24.881147
26.896,2.010899,1,24.885101
26.896,2.006935,1,24.889065
26.896,1.999052,1,24.896948
26.896,1.995388,1,24.900612
26.896,1.991201,1,24.904799
26.896,1.987166,1,24.908834
26.896,1.983158,1,24.912842
26.896,1.979181,1,24.916819
26.896,1.97523,1,24.92077
26.896,1.971256,1,24.924744
26.896,1.967297,1,24.928703
26.896,1.963331,1,24.932669
26.896,1.959374,1,24.936626
26.896,1.95541,1,24.94059
26.896,1.951445,1,24.944555
26.896,1.947485,1,24.948515
26.896,1.943531,1,24.952469
26.896,1.939568,1,24.956432
26.896,1.93561,1,24.96039
26.896,1.93164,1,24.96436
26.896,1.927681,1,24.968319
26.896,1.923716,1,24.972284
26.896,1.915835,1,24.980165
26.896,1.912174,1,24.983826
26.896,1.90799,1,24.98801
26.896,1.903952,1,24.992048
26.896,1.899937,1,24.996063
26.896,1.895964,1,25.000036
26.896,1.891995,1,25.004005
26.896,1.888039,1,25.007961
26.896,1.88407,1,25.01193
26.896,1.880116,1,25.015884
26.896,1.876148,1,25.019852
26.896,1.86828,1,25.02772
26.896,1.864607,1,25.031393
26.896,1.860426,1,25.035574
26.896,1.856388,1,25.039612
26.896,1.852392,1,25.043608
26.896,1.848408,1,25.047592
26.896,1.844446,1,25.051554
26.896,1.840487,1,25.055513
26.896,1.836521,1,25.059479
26.896,1.832563,1,25.063437
26.896,1.828604,1,25.067396
26.896,1.824642,1,25.071358
26.896,1.820671,1,25.075329
26.896,1.816713,1,25.079287
26.896,1.812744,1,25.083256
26.896,1.808788,1,25.087212
26.896,1.800905,1,25.095095
26.896,1.79724,1,25.09876
26.896,1.79305,1,25.10295
26.896,1.789017,1,25.106983
26.896,1.785011,1,25.110989
26.896,1.781029,1,25.114971
26.896,1.777067,1,25.118933
26.896,1.77311,1,25.12289
